year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_6,partido_7,partido_8,partido_99
1988,08133,Montmaneu,Barcelona,223,CiU,71.64,#1e4a8e,Nacionalismo/independentismo,73.13,#18a1cd,71.64,8.96,3.73,11.94,1.49,1.49,NA,NA,0.75
1988,08134,Figaró-Montmany,Barcelona,495,CiU,81.1,#1e4a8e,Nacionalismo/independentismo,84.3,#18a1cd,81.1,9.88,0.58,2.62,3.2,0.58,NA,NA,1.16
1988,08135,Montmeló,Barcelona,4985,PSC,41.14,#da1f35,No nacionalistas,68.84,#fa8c00,29.18,41.14,12.75,9.87,1.36,3.01,NA,NA,2.07
1988,08136,Montornès del Vallès,Barcelona,7340,PSC,39.69,#da1f35,No nacionalistas,70.3,#fa8c00,28,39.69,18.35,4.49,1.12,4.72,NA,NA,3.05
1988,08137,Montseny,Barcelona,216,CiU,80.49,#1e4a8e,Nacionalismo/independentismo,87.2,#18a1cd,80.49,6.1,1.22,1.22,6.71,1.22,NA,NA,3.05
1988,08138,Moià,Barcelona,2489,CiU,66.81,#1e4a8e,Nacionalismo/independentismo,74.02,#18a1cd,66.81,15.47,3.19,3.74,7.21,1.49,NA,NA,1.51
1988,08139,Mura,Barcelona,159,CiU,91.4,#1e4a8e,Nacionalismo/independentismo,91.4,#18a1cd,91.4,0,3.23,5.38,0,0,NA,NA,0
1988,08140,Navarcles,Barcelona,3751,CiU,55.7,#1e4a8e,Nacionalismo/independentismo,59.25,#18a1cd,55.7,22.03,13.91,1.18,3.55,1.81,NA,NA,1.67
1988,08141,Navàs,Barcelona,4191,CiU,65.35,#1e4a8e,Nacionalismo/independentismo,72.35,#18a1cd,65.35,19.17,2.11,2.01,7,1.74,NA,NA,2.02
1988,08142,La Nou de Berguedà,Barcelona,117,CiU,82.42,#1e4a8e,Nacionalismo/independentismo,82.42,#18a1cd,82.42,9.89,5.49,0,0,0,NA,NA,2.2
