year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_8,por_voto_partido_99
2021,25073,Cervià de les Garrigues,Lleida,556,ERC,44.41,#e5ab4b,Nacionalismo/independentismo,83.99,#18a1cd,26,147,103,5,10,24,1,4,7.85,44.41,31.12,1.51,3.02,7.25,0.3,1.21
2021,25074,Ciutadilla,Lleida,174,ERC,42.28,#e5ab4b,Nacionalismo/independentismo,78.86,#18a1cd,11,52,40,3,3,4,3,1,8.94,42.28,32.52,2.44,2.44,3.25,2.44,0.81
2021,25075,Clariana de Cardener,Lleida,130,ERC,34.12,#e5ab4b,Nacionalismo/independentismo,85.87,#18a1cd,7,29,16,0,1,16,0,13,8.24,34.12,18.82,0,1.18,18.82,0,15.29
2021,25076,El Cogul,Lleida,132,ERC,35.56,#e5ab4b,Nacionalismo/independentismo,81.11,#18a1cd,10,32,31,4,2,7,0,3,11.11,35.56,34.44,4.44,2.22,7.78,0,3.33
2021,25077,Coll de Nargó,Lleida,433,JxCat,28.63,#00c4b2,Nacionalismo/independentismo,79.01,#18a1cd,31,73,75,5,5,42,2,21,11.83,27.86,28.63,1.91,1.91,16.03,0.76,8.02
2021,25078,Corbins,Lleida,996,ERC,37.5,#e5ab4b,Nacionalismo/independentismo,79.84,#18a1cd,49,240,201,19,18,47,9,30,7.66,37.5,31.41,2.97,2.81,7.34,1.41,4.68
2021,25079,Cubells,Lleida,275,JxCat,41.24,#00c4b2,Nacionalismo/independentismo,88.69,#18a1cd,5,65,73,5,0,4,5,16,2.82,36.72,41.24,2.82,0,2.26,2.82,9.03
2021,25081,L'Espluga Calba,Lleida,270,ERC,34.13,#e5ab4b,Nacionalismo/independentismo,79.03,#18a1cd,19,57,46,2,2,22,5,7,11.38,34.13,27.54,1.2,1.2,13.17,2.99,4.19
2021,25082,Espot,Lleida,301,ERC,38.17,#e5ab4b,Nacionalismo/independentismo,77.96,#18a1cd,19,71,52,3,3,6,4,19,10.22,38.17,27.96,1.61,1.61,3.23,2.15,10.22
2021,25085,Estaràs,Lleida,143,JxCat,43,#00c4b2,Nacionalismo/independentismo,76,#18a1cd,7,22,43,7,3,6,4,7,7,22,43,7,3,6,4,7
