cod_mun,municipio,provincia,poblacion,partido_ganador,por_votos,siglas_partido,color,partido_mapa
03058,Cox,Alicante,7431,PARTIDO POPULAR,65.52,PP,#009ade,PP
03059,Crevillent,Alicante,29881,ACORD PER GUANYAR,38.76,ACORD PER GUANYAR,#e07c2c,Compromís
03060,Quatretondeta,Alicante,133,PARTIDO SOCIALISTA OBRERO ESPAÑOL,56.82,PSOE,#da1f35,PSOE
03061,Daya Nueva,Alicante,1758,CIUDADANOS-PARTIDO DE LA CIUDADANIA,37.93,CS,#da5b1f,Cs
03062,Daya Vieja,Alicante,683,CAMBIEMOS ORIHUELA: ACUERDO PARA GANAR,53.21,ACUERDO PARA GANAR,#e07c2c,Compromís
03063,Dénia,Alicante,43899,PARTIDO SOCIALISTA OBRERO ESPAÑOL,38.37,PSOE,#da1f35,PSOE
03064,Dolores,Alicante,7799,PARTIDO SOCIALISTA OBRERO ESPAÑOL,50.17,PSOE,#da1f35,PSOE
03065,Elche/Elx,Alicante,235580,PARTIDO SOCIALISTA OBRERO ESPAÑOL,38.67,PSOE,#da1f35,PSOE
03066,Elda,Alicante,52297,PARTIDO SOCIALISTA OBRERO ESPAÑOL,44.47,PSOE,#da1f35,PSOE
03067,Facheca,Alicante,104,PARTIDO SOCIALISTA OBRERO ESPAÑOL,66.32,PSOE,#da1f35,PSOE
03068,Famorca,Alicante,48,PARTIDO POPULAR,60,PP,#009ade,PP
03069,Finestrat,Alicante,7909,PARTIDO POPULAR,73.44,PP,#009ade,PP
03070,Formentera del Segura,Alicante,4446,PARTIDO POPULAR,68.25,PP,#009ade,PP
03071,Gata de Gorgos,Alicante,6364,PARTIDO POPULAR,43.47,PP,#009ade,PP
03072,Gaianes,Alicante,548,ACORD PER GUANYAR,55.43,ACORD PER GUANYAR,#e07c2c,Compromís
03073,Gorga,Alicante,270,PARTIDO SOCIALISTA OBRERO ESPAÑOL,63.59,PSOE,#da1f35,PSOE
03074,Granja de Rocamora,Alicante,2626,PARTIDO SOCIALISTA OBRERO ESPAÑOL,52.79,PSOE,#da1f35,PSOE
03075,El Castell de Guadalest,Alicante,258,PARTIDO POPULAR,81.99,PP,#009ade,PP
03076,Guardamar del Segura,Alicante,16138,PARTIDO SOCIALISTA OBRERO ESPAÑOL,51.92,PSOE,#da1f35,PSOE
03077,El Fondó de les Neus/El Hondón de las Nieves,Alicante,2684,PARTIDO POPULAR,58.24,PP,#009ade,PP
03078,Hondón de los Frailes,Alicante,1261,PARTIDO POPULAR,72.55,PP,#009ade,PP
03079,Ibi,Alicante,23677,PARTIDO POPULAR,37.74,PP,#009ade,PP
