cod_ine,mun,pob,nombre_completo,partido_alcalde,partido_ganador,segundo,gobierna
28148,Torrejón de Ardoz,132771,Ignacio Vázquez Casavilla,PP,PP,P.S.O.E.,Lista más votada
28149,Torrejón de la Calzada,9549,Azahara Molina Martín,Cs,GLITC,PP,Otro
28150,Torrejón de Velasco,4594,Esteban Bravo Fernández,PP,PP,VOX,Lista más votada
28151,Torrelaguna,4897,Eduardo Burgos García,PSOE,PSOE,PP,Lista más votada
28152,Torrelodones,24122,Alfredo García-Plata Fernández,VT,VT,PP,Lista más votada
28153,Torremocha de Jarama,1079,Carlos Rivera Rivera,IT,IT,SOTO,Lista más votada
28154,Torres de la Alameda,7729,Carlos Sáez Gismero,PSOE,PSOE,PP,Lista más votada
28903,Tres Cantos,48751,Jesús Moreno García,PP,PP,P.S.O.E.,Lista más votada
28155,Valdaracete,612,Julián Campeño Ayuso,PP,PP,P.S.O.E.,Lista más votada
28156,Valdeavero,1670,María Luisa Castro Sancho,PSOE,PSOE,PP,Lista más votada
28157,Valdelaguna,1026,Pablo Morate Haro,PP,PP,PIV,Lista más votada
28158,Valdemanco,1012,Sylvia Déborah Molina Rodríguez,PP,PP,Cs,Lista más votada
28159,Valdemaqueda,789,Álvaro Santamaría Rodríguez,PP,PP,P.S.O.E.,Lista más votada
28160,Valdemorillo,13245,Santiago Villena Acedos,PP,PP,P.S.O.E.,Lista más votada
28161,Valdemoro,77587,Sergio Parra Perales,Cs,PSOE,Cs,Otro
28162,Valdeolmos-Alalpardo,4309,Miguel Ángel Medranda Rivas,PP,PP,SPT,Lista más votada
28163,Valdepiélagos,612,Pedro Jose Cabrera Cabrera,CIV,CIV,-,Lista más votada
28164,Valdetorres de Jarama,4696,José María De Diego Tortosa,APV,APV,PP,Lista más votada
28165,Valdilecha,3079,José Javier López González,PP,PP,P.S.O.E.,Lista más votada
28166,Valverde de Alcalá,518,Gabino De Hago García,PP,PP,Cs,Lista más votada
28167,Velilla de San Antonio,12543,Antonia Alcázar Jiménez,PSOE,PSOE,Cs,Lista más votada
28168,"Vellón, El",2083,Catalina Llorente Fernández,PSOE,PSOE,PP,Lista más votada
