fecha,indicativo,fecha_maxima,temMax,nombre_clean,provincia_clean,latitud,longitud,record,nota,junio,mayo,abril,marzo,febrero,enero
2024-01-31,1735X,2022-01-01,18.6,Xinzo de Limia,Ourense,42.07916667,-7.733611111,Mensual,NA,NA,NA,NA,NA,NA,19.1
2024-01-24,2030,1944-01-29,20,Soria,Soria,41.775,-2.483055556,Mensual,NA,NA,NA,NA,NA,NA,20.8
2024-01-25,2150H,1982-01-31,16,"La Pinilla, Estación de Esquí",Segovia,41.19194444,-3.475277778,Mensual,NA,NA,NA,NA,NA,NA,17.9
2024-01-27,2235U,2013-01-06,19,Cervera de Pisuerga,Palencia,42.87055556,-4.52,Mensual,NA,NA,NA,NA,NA,NA,19.1
2024-01-27,2298,2022-01-01,18,Palacios de La Sierra,Burgos,41.95972222,-3.131666667,Mensual,NA,NA,NA,NA,NA,NA,20.2
2024-01-27,2331,1944-01-29,19,Burgos Aeropuerto,Burgos,42.35694444,-3.621388889,Mensual,NA,NA,NA,NA,NA,NA,19.1
2024-01-28,2400E,2023-01-01,15.7,Autilla del Pino,Palencia,41.99555556,-4.602777778,Mensual,NA,NA,NA,NA,NA,NA,15.9
2024-01-24,2444,2007-01-19,19.6,Ávila,Ávila,40.65916667,-4.679722222,Mensual,NA,NA,NA,NA,NA,NA,20.8
2024-01-25,2462,2013-01-06,16.3,Puerto de Navacerrada,Madrid,40.79305556,-4.010555556,Mensual,NA,NA,NA,NA,NA,NA,18.3
2024-01-27,2465,2022-01-01,20.1,Segovia,Segovia,40.94527778,-4.126388889,Mensual,NA,NA,NA,NA,NA,NA,20.1
2024-01-26,2491C,2020-01-01,15.3,"La Covatilla, Estación de Esquí",Salamanca,40.355,-5.69,Mensual,"La Covatilla, Estación de Esquí 15.6ºC",NA,NA,NA,NA,NA,15.6
2024-01-28,2539,1966-01-19,17,Valladolid Aeropuerto,Valladolid,41.71194444,-4.855555556,Mensual,NA,NA,NA,NA,NA,NA,17.4
2024-01-24,2630X,2012-01-10,15.6,Puerto de San Isidro,León,43.06222222,-5.376944444,Mensual,NA,NA,NA,NA,NA,NA,20.1
2024-01-26,3110C,2007-01-12,19.3,Buitrago del Lozoya,Madrid,41.00694444,-3.613611111,Mensual,NA,NA,NA,NA,NA,NA,21.6
2024-01-26,3111D,2007-01-19,17.8,Somosierra,Madrid,41.13555556,-3.580277778,Mensual,NA,NA,NA,NA,NA,NA,19.1
2024-01-26,3130C,2022-01-01,19.9,Sigüenza,Guadalajara,41.08638889,-2.618055556,Mensual,NA,NA,NA,NA,NA,NA,21
2024-01-26,3168D,2016-01-24,19.8,Guadalajara,Guadalajara,40.63027778,-3.15,Mensual,NA,NA,NA,NA,NA,NA,21.6
2024-01-26,3175,2003-01-27,21,Torrejón de Ardoz,Madrid,40.48861111,-3.443611111,Mensual,NA,NA,NA,NA,NA,NA,21.5
2024-01-26,3191E,2022-01-01,18,Colmenar Viejo,Madrid,40.69611111,-3.765,Mensual,NA,NA,NA,NA,NA,NA,20.2
2024-01-26,3196,2003-01-27,20.6,"Madrid, Cuatro Vientos",Madrid,40.37555556,-3.786111111,Mensual,NA,NA,NA,NA,NA,NA,20.6
2024-01-25,3266A,2002-01-28,15.9,Puerto Alto del León,Madrid,40.70638889,-4.141944444,Mensual,NA,NA,NA,NA,NA,NA,18.3
2024-01-25,3298X,2012-01-05,17.9,San Pablo de los Montes,Toledo,39.54694444,-4.350555556,Mensual,NA,NA,NA,NA,NA,NA,21
2024-01-24,4061X,2022-01-01,20,Quintanar de la Orden,Toledo,39.59722222,-3.048333333,Mensual,NA,NA,NA,NA,NA,NA,21.3
2024-01-25,4090Y,2022-01-01,19.2,San Clemente,Cuenca,39.41666667,-2.420555556,Mensual,NA,NA,NA,NA,NA,NA,20
2024-01-27,4147X,2021-01-29,20.9,Valdepeñas,Ciudad Real,38.75055556,-3.391388889,Mensual,NA,NA,NA,NA,NA,NA,22.4
2024-01-27,4148,2021-01-29,21.7,Viso del Marqués,Ciudad Real,38.51805556,-3.566666667,Mensual,NA,NA,NA,NA,NA,NA,23.6
2024-01-27,4220X,2021-01-28,21.4,Puebla de Don Rodrigo,Ciudad Real,39.08361111,-4.621944444,Mensual,NA,NA,NA,NA,NA,NA,22.8
2024-01-26,4244X,2016-01-24,20.8,Herrera del Duque,Badajoz,39.16944444,-5.062222222,Mensual,NA,NA,NA,NA,NA,NA,22.9
2024-01-27,4267X,2016-01-24,20.8,Hinojosa del Duque,Córdoba,38.49861111,-5.121111111,Mensual,NA,NA,NA,NA,NA,NA,21.6
2024-01-26,4358X,2023-01-01,21.3,Don Benito,Badajoz,38.95555556,-5.880555556,Mensual,NA,NA,NA,NA,NA,NA,21.8
2024-01-26,4410X,2003-01-27,23.3,Mérida,Badajoz,38.91583333,-6.385555556,Mensual,NA,NA,NA,NA,NA,NA,23.4
2024-01-25,4511C,2022-01-03,21.7,Jerez de los Caballeros,Badajoz,38.29861111,-6.765,Mensual,NA,NA,NA,NA,NA,NA,23
2024-01-25,4549Y,2022-01-31,23.2,Ayamonte,Huelva,37.19472222,-7.395,Mensual,NA,NA,NA,NA,NA,NA,24.6
2024-01-26,4560Y,2022-01-01,22.8,Alajar,Huelva,37.86861111,-6.675,Mensual,NA,NA,NA,NA,NA,NA,24.8
2024-01-25,4642E,2008-01-22,24,"Huelva, Ronda Este",Huelva,37.27833333,-6.911666667,Mensual,NA,NA,NA,NA,NA,NA,24.6
2024-01-15,5000C,2021-01-27,23,Ceuta,Ceuta,35.88861111,-5.346944444,Mensual,NA,NA,NA,NA,NA,NA,23.4
2024-01-25,5047E,2022-01-01,23.6,Baza,Granada,37.50583333,-2.735,Mensual,NA,NA,NA,NA,NA,NA,25.6
2024-01-25,5181D,2022-01-01,23.3,Arroyo del Ojanco,Jaén,38.31472222,-2.889722222,Mensual,NA,NA,NA,NA,NA,NA,25.8
2024-01-26,5192,2013-01-31,19.6,Villarrodrigo,Jaén,38.48916667,-2.6375,Mensual,NA,NA,NA,NA,NA,NA,26
2024-01-26,5270B,2022-01-01,20.4,Jaén,Jaén,37.7775,-3.809166667,Mensual,NA,NA,NA,NA,NA,NA,22.4
2024-01-25,5298X,2007-01-20,24.2,Andújar,Jaén,38.02305556,-4.063333333,Mensual,NA,NA,NA,NA,NA,NA,25
2024-01-26,5390Y,2022-01-01,24,Villanueva de Córdoba,Córdoba,38.33305556,-4.608888889,Mensual,NA,NA,NA,NA,NA,NA,24.2
2024-01-27,5402,2007-01-20,22.9,Córdoba Aeropuerto,Córdoba,37.84888889,-4.846666667,Mensual,NA,NA,NA,NA,NA,NA,23.5
2024-01-26,5427X,2021-01-28,25.1,Doña Mencía,Córdoba,37.55611111,-4.353888889,Mensual,NA,NA,NA,NA,NA,NA,25.4
2024-01-25,5514,1959-01-25,23.4,Granada Base Aérea,Granada,37.13722222,-3.631388889,Mensual,NA,NA,NA,NA,NA,NA,26.8
2024-01-25,5530E,2014-01-08,24.6,Granada Aeropuerto,Granada,37.19027778,-3.789722222,Mensual,NA,NA,NA,NA,NA,NA,25.7
2024-01-26,5582A,2003-01-28,23,Loja,Granada,37.16111111,-4.152777778,Mensual,NA,NA,NA,NA,NA,NA,26.1
2024-01-26,5612B,2021-01-28,25.7,La Roda de Andalucía,Sevilla,37.19444444,-4.77,Mensual,NA,NA,NA,NA,NA,NA,27.8
2024-01-25,5704B,2022-01-01,23.6,Cazalla de la Sierra,Sevilla,37.92638889,-5.769722222,Mensual,NA,NA,NA,NA,NA,NA,25
2024-01-25,5860E,2008-01-22,23.2,"Moguer, El Arenosillo",Huelva,37.09805556,-6.738055556,Mensual,NA,NA,NA,NA,NA,NA,24.3
2024-01-24,5910,2016-01-24,22.6,"Rota, Base Naval",Cádiz,36.63888889,-6.3325,Mensual,NA,NA,NA,NA,NA,NA,23.9
2024-01-25,5972X,2007-01-19,21.7,San Fernando,Cádiz,36.46555556,-6.205555556,Mensual,NA,NA,NA,NA,NA,NA,25.4
2024-01-25,5973,2007-01-19,22.5,Cádiz,Cádiz,36.49972222,-6.257777778,Mensual,NA,NA,NA,NA,NA,NA,24.1
2024-01-26,5995B,2022-01-31,22.3,Vejer de la Frontera,Cádiz,36.24555556,-5.965,Mensual,NA,NA,NA,NA,NA,NA,23.4
