date,provincia,2024,Media 2009-2023,tipo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,min,max
2024-03-31,España,8653,11911.6,Hectáreas,0,10533,1352,1667,31691,299,6095,1264,0,2500,843,23585,7941,18322,18447,54135,843,18447
2024-03-31,España,68,70.4,Incendios,0,50,4,17,125,1,17,9,0,20,14,203,73,109,152,262,4,152
2024-04-01,España,8653,12023.8,Hectáreas,0,10641,1352,1801,31805,299,6095,1264,0,2500,843,23628,7941,19457,18560,54171,843,18560
2024-04-01,España,68,71.4,Incendios,0,51,4,19,126,1,17,9,0,20,14,204,73,116,154,263,4,154
2024-04-02,España,8653,12079.066666666668,Hectáreas,0,10641,1352,1924,31805,299,6095,1264,0,2578,843,23664,7941,20049,18560,54171,843,18560
2024-04-02,España,68,72,Incendios,0,51,4,20,126,1,17,9,0,21,14,205,73,122,154,263,4,154
2024-04-03,España,8653,12100.733333333334,Hectáreas,0,10641,1352,1924,31805,299,6095,1264,0,2578,906,23664,7941,20311,18560,54171,906,18560
2024-04-03,España,68,72.33333333333333,Incendios,0,51,4,20,126,1,17,9,0,21,15,205,73,126,154,263,4,154
2024-04-04,España,NA,12168.733333333334,Hectáreas,0,10731,1352,2137,31805,350,6095,1599,0,2578,906,23664,7941,20552,18560,54261,906,18560
2024-04-04,España,NA,73,Incendios,0,52,4,22,126,2,17,10,0,21,15,205,73,129,154,265,4,154
2024-04-05,España,NA,12221.533333333333,Hectáreas,0,10938,1352,2137,31805,350,6095,1599,0,2578,906,23664,8042,20633,18602,54622,906,18602
2024-04-05,España,NA,73.53333333333333,Incendios,0,53,4,22,126,2,17,10,0,21,15,205,74,130,155,269,4,155
2024-04-06,España,NA,12299.533333333333,Hectáreas,0,10938,1425,2563,31805,350,6095,1647,0,2578,937,23664,8042,20827,18602,55020,937,18602
2024-04-06,España,NA,74.53333333333333,Incendios,0,53,5,28,126,2,17,11,0,21,16,205,74,133,155,272,5,155
2024-04-07,España,NA,12364.533333333333,Hectáreas,0,10938,1425,2778,31805,350,6095,1747,0,2902,937,23664,8042,21010,18640,55135,937,18640
2024-04-07,España,NA,75.33333333333333,Incendios,0,53,5,32,126,2,17,12,0,22,16,205,74,136,156,274,5,156
2024-04-08,España,NA,12566.2,Hectáreas,0,10938,1425,3692,31805,350,6095,1747,0,3311,937,23664,8042,21010,18640,56837,937,18640
2024-04-08,España,NA,76.66666666666667,Incendios,0,53,5,37,126,2,17,12,0,29,16,205,74,136,156,282,5,156
2024-04-09,España,NA,12820.466666666667,Hectáreas,0,10938,1456,5998,31805,350,6095,1747,0,3743,1256,23664,8042,21043,18640,57530,1256,18640
2024-04-09,España,NA,78.2,Incendios,0,53,6,42,126,2,17,12,0,37,17,205,74,137,156,289,6,156
2024-04-10,España,NA,12937.933333333332,Hectáreas,0,10938,1874,6611,31805,350,6095,1747,0,3965,1256,23664,8042,21043,18676,58003,1256,18676
2024-04-10,España,NA,79,Incendios,0,53,8,43,126,2,17,12,0,40,17,205,74,137,157,294,8,157
2024-04-11,España,NA,13088.533333333333,Hectáreas,0,10938,1874,6847,31805,350,6140,1747,0,5307,1256,23664,8042,21043,19108,58207,1256,19108
2024-04-11,España,NA,80,Incendios,0,53,8,44,126,2,18,12,0,45,17,205,74,137,164,295,8,164
2024-04-12,España,NA,13128.533333333333,Hectáreas,0,10938,1874,6925,31805,350,6140,1747,0,5727,1256,23664,8042,21043,19108,58309,1256,19108
2024-04-12,España,NA,80.4,Incendios,0,53,8,46,126,2,18,12,0,48,17,205,74,137,164,296,8,164
