nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Abaltzisketa,20001,DISTINTIVO B,Áreas no urbanas,3,Gipuzkoa,309,8.57,9.71,17,17.32,-0.32
Abaltzisketa,20001,DISTINTIVO C,Áreas no urbanas,15,Gipuzkoa,309,42.86,48.54,9.53,8.5,1.03
Abaltzisketa,20001,ECO,Áreas no urbanas,0,Gipuzkoa,309,0,0,NA,4.19,NA
Abaltzisketa,20001,SIN DISTINTIVO,Áreas no urbanas,17,Gipuzkoa,309,48.57,55.02,30.76,35,-4.23
Abanilla,30001,CERO,Áreas no urbanas,3,Murcia,6146,0.77,0.49,5,3.63,1.37
Abanilla,30001,DISTINTIVO B,Áreas no urbanas,33,Murcia,6146,8.44,5.37,17.36,17.32,0.04
Abanilla,30001,DISTINTIVO C,Áreas no urbanas,145,Murcia,6146,37.08,23.59,8.54,8.5,0.04
Abanilla,30001,ECO,Áreas no urbanas,0,Murcia,6146,0,0,NA,4.19,NA
Abanilla,30001,SIN DISTINTIVO,Áreas no urbanas,210,Murcia,6146,53.71,34.17,43.55,35,8.56
Abanto,50001,DISTINTIVO B,Áreas no urbanas,0,Zaragoza,89,0,0,NA,17.32,NA
Abanto,50001,DISTINTIVO C,Áreas no urbanas,3,Zaragoza,89,42.86,33.71,15,8.5,6.5
Abanto,50001,SIN DISTINTIVO,Áreas no urbanas,4,Zaragoza,89,57.14,44.94,36,35,1
Abanto y Ciérvana-Abanto Zierbena,48002,CERO,Grandes áreas urbanas,2,Bizkaia,9369,0.29,0.21,6.5,3.63,2.87
Abanto y Ciérvana-Abanto Zierbena,48002,DISTINTIVO B,Grandes áreas urbanas,116,Bizkaia,9369,16.69,12.38,17.22,17.32,-0.1
Abanto y Ciérvana-Abanto Zierbena,48002,DISTINTIVO C,Grandes áreas urbanas,358,Bizkaia,9369,51.51,38.21,9.41,8.5,0.91
Abanto y Ciérvana-Abanto Zierbena,48002,ECO,Grandes áreas urbanas,0,Bizkaia,9369,0,0,NA,4.19,NA
Abanto y Ciérvana-Abanto Zierbena,48002,SIN DISTINTIVO,Grandes áreas urbanas,219,Bizkaia,9369,31.51,23.37,34.98,35,-0.02
Abarca de Campos,34001,DISTINTIVO B,Áreas no urbanas,0,Palencia,43,0,0,NA,17.32,NA
Abarca de Campos,34001,DISTINTIVO C,Áreas no urbanas,3,Palencia,43,100,69.77,7.67,8.5,-0.83
Abarca de Campos,34001,ECO,Áreas no urbanas,0,Palencia,43,0,0,NA,4.19,NA
Abarca de Campos,34001,SIN DISTINTIVO,Áreas no urbanas,0,Palencia,43,0,0,NA,35,NA
Abarán,30002,CERO,Áreas no urbanas,4,Murcia,12992,0.37,0.31,11,3.63,7.37
Abarán,30002,DISTINTIVO B,Áreas no urbanas,192,Murcia,12992,17.84,14.78,17.32,17.32,0
Abarán,30002,DISTINTIVO C,Áreas no urbanas,563,Murcia,12992,52.32,43.33,8.33,8.5,-0.17
Abarán,30002,ECO,Áreas no urbanas,0,Murcia,12992,0,0,NA,4.19,NA
Abarán,30002,SIN DISTINTIVO,Áreas no urbanas,317,Murcia,12992,29.46,24.4,38.93,35,3.94
Abaurregaina/Abaurrea Alta,31003,CERO,Áreas no urbanas,0,Navarra,120,0,0,NA,3.63,NA
Abaurregaina/Abaurrea Alta,31003,DISTINTIVO B,Áreas no urbanas,0,Navarra,120,0,0,NA,17.32,NA
Abaurregaina/Abaurrea Alta,31003,DISTINTIVO C,Áreas no urbanas,1,Navarra,120,14.29,8.33,3,8.5,-5.5
Abaurregaina/Abaurrea Alta,31003,ECO,Áreas no urbanas,0,Navarra,120,0,0,NA,4.19,NA
Abaurregaina/Abaurrea Alta,31003,SIN DISTINTIVO,Áreas no urbanas,6,Navarra,120,85.71,50,34.5,35,-0.5
Abaurrepea/Abaurrea Baja,31004,DISTINTIVO B,Áreas no urbanas,2,Navarra,31,40,64.52,17,17.32,-0.32
Abaurrepea/Abaurrea Baja,31004,DISTINTIVO C,Áreas no urbanas,3,Navarra,31,60,96.77,8.67,8.5,0.17
Abaurrepea/Abaurrea Baja,31004,SIN DISTINTIVO,Áreas no urbanas,0,Navarra,31,0,0,NA,35,NA
Abegondo,15001,CERO,Grandes áreas urbanas,2,A Coruña,5534,0.48,0.36,5,3.63,1.37
Abegondo,15001,DISTINTIVO B,Grandes áreas urbanas,86,A Coruña,5534,20.57,15.54,17.1,17.32,-0.21
Abegondo,15001,DISTINTIVO C,Grandes áreas urbanas,185,A Coruña,5534,44.26,33.43,10.06,8.5,1.56
Abegondo,15001,ECO,Grandes áreas urbanas,0,A Coruña,5534,0,0,NA,4.19,NA
Abegondo,15001,SIN DISTINTIVO,Grandes áreas urbanas,145,A Coruña,5534,34.69,26.2,33.84,35,-1.15
Abejar,42001,DISTINTIVO B,Áreas no urbanas,2,Soria,273,18.18,7.33,19,17.32,1.68
Abejar,42001,DISTINTIVO C,Áreas no urbanas,3,Soria,273,27.27,10.99,10.33,8.5,1.83
Abejar,42001,ECO,Áreas no urbanas,0,Soria,273,0,0,NA,4.19,NA
Abejar,42001,SIN DISTINTIVO,Áreas no urbanas,6,Soria,273,54.55,21.98,37,35,2
Abejuela,44002,DISTINTIVO B,Áreas no urbanas,3,Teruel,56,33.33,53.57,17.33,17.32,0.01
Abejuela,44002,DISTINTIVO C,Áreas no urbanas,4,Teruel,56,44.44,71.43,10,8.5,1.5
Abejuela,44002,SIN DISTINTIVO,Áreas no urbanas,2,Teruel,56,22.22,35.71,36,35,1
Abella de la Conca,25001,CERO,Áreas no urbanas,0,Lleida,167,0,0,NA,3.63,NA
Abella de la Conca,25001,DISTINTIVO B,Áreas no urbanas,4,Lleida,167,25,23.95,18.25,17.32,0.93
Abella de la Conca,25001,DISTINTIVO C,Áreas no urbanas,6,Lleida,167,37.5,35.93,11.83,8.5,3.33
Abella de la Conca,25001,ECO,Áreas no urbanas,0,Lleida,167,0,0,NA,4.19,NA
Abella de la Conca,25001,SIN DISTINTIVO,Áreas no urbanas,6,Lleida,167,37.5,35.93,32,35,-3
Abengibre,02001,CERO,Áreas no urbanas,0,Albacete,739,0,0,NA,3.63,NA
Abengibre,02001,DISTINTIVO B,Áreas no urbanas,6,Albacete,739,12.24,8.12,17.33,17.32,0.01
Abengibre,02001,DISTINTIVO C,Áreas no urbanas,25,Albacete,739,51.02,33.83,10,8.5,1.5
Abengibre,02001,ECO,Áreas no urbanas,1,Albacete,739,2.04,1.35,8,4.19,3.81
Abengibre,02001,SIN DISTINTIVO,Áreas no urbanas,17,Albacete,739,34.69,23,31.82,35,-3.17
Abenójar,13001,DISTINTIVO B,Áreas no urbanas,13,Ciudad Real,1314,21.67,9.89,16.77,17.32,-0.55
Abenójar,13001,DISTINTIVO C,Áreas no urbanas,21,Ciudad Real,1314,35,15.98,12.1,8.5,3.59
Abenójar,13001,ECO,Áreas no urbanas,0,Ciudad Real,1314,0,0,NA,4.19,NA
Abenójar,13001,SIN DISTINTIVO,Áreas no urbanas,26,Ciudad Real,1314,43.33,19.79,32.65,35,-2.34
Aberin,31005,DISTINTIVO B,Áreas no urbanas,7,Navarra,371,15.91,18.87,17.14,17.32,-0.18
Aberin,31005,DISTINTIVO C,Áreas no urbanas,17,Navarra,371,38.64,45.82,10.35,8.5,1.85
Aberin,31005,ECO,Áreas no urbanas,0,Navarra,371,0,0,NA,4.19,NA
Aberin,31005,SIN DISTINTIVO,Áreas no urbanas,20,Navarra,371,45.45,53.91,33,35,-2
Abertura,10002,DISTINTIVO B,Áreas no urbanas,4,Cáceres,388,25,10.31,18,17.32,0.68
Abertura,10002,DISTINTIVO C,Áreas no urbanas,5,Cáceres,388,31.25,12.89,10,8.5,1.5
Abertura,10002,ECO,Áreas no urbanas,0,Cáceres,388,0,0,NA,4.19,NA
Abertura,10002,SIN DISTINTIVO,Áreas no urbanas,7,Cáceres,388,43.75,18.04,35,35,0
Abezames,49002,DISTINTIVO B,Áreas no urbanas,0,Zamora,65,0,0,NA,17.32,NA
Abezames,49002,DISTINTIVO C,Áreas no urbanas,5,Zamora,65,55.56,76.92,9.6,8.5,1.1
Abezames,49002,SIN DISTINTIVO,Áreas no urbanas,4,Zamora,65,44.44,61.54,32,35,-3
Abia de la Obispalía,16001,DISTINTIVO B,Áreas no urbanas,4,Cuenca,60,57.14,66.67,18,17.32,0.68
Abia de la Obispalía,16001,DISTINTIVO C,Áreas no urbanas,0,Cuenca,60,0,0,NA,8.5,NA
Abia de la Obispalía,16001,ECO,Áreas no urbanas,0,Cuenca,60,0,0,NA,4.19,NA
Abia de la Obispalía,16001,SIN DISTINTIVO,Áreas no urbanas,3,Cuenca,60,42.86,50,37.67,35,2.67
Abia de las Torres,34003,DISTINTIVO B,Áreas no urbanas,2,Palencia,169,22.22,11.83,17,17.32,-0.32
Abia de las Torres,34003,DISTINTIVO C,Áreas no urbanas,5,Palencia,169,55.56,29.59,13.2,8.5,4.7
Abia de las Torres,34003,ECO,Áreas no urbanas,0,Palencia,169,0,0,NA,4.19,NA
Abia de las Torres,34003,SIN DISTINTIVO,Áreas no urbanas,2,Palencia,169,22.22,11.83,22.5,35,-12.5
Abiego,22001,CERO,Áreas no urbanas,0,Huesca,278,0,0,NA,3.63,NA
Abiego,22001,DISTINTIVO B,Áreas no urbanas,2,Huesca,278,6.67,7.19,18,17.32,0.68
Abiego,22001,DISTINTIVO C,Áreas no urbanas,11,Huesca,278,36.67,39.57,9.27,8.5,0.77
Abiego,22001,ECO,Áreas no urbanas,0,Huesca,278,0,0,NA,4.19,NA
Abiego,22001,SIN DISTINTIVO,Áreas no urbanas,17,Huesca,278,56.67,61.15,40.76,35,5.77
Abizanda,22002,DISTINTIVO B,Áreas no urbanas,1,Huesca,151,10,6.62,18,17.32,0.68
Abizanda,22002,DISTINTIVO C,Áreas no urbanas,2,Huesca,151,20,13.25,14.5,8.5,6
Abizanda,22002,ECO,Áreas no urbanas,0,Huesca,151,0,0,NA,4.19,NA
Abizanda,22002,SIN DISTINTIVO,Áreas no urbanas,7,Huesca,151,70,46.36,35.43,35,0.43
Abla,04001,CERO,Áreas no urbanas,0,Almería,1247,0,0,NA,3.63,NA
Abla,04001,DISTINTIVO B,Áreas no urbanas,29,Almería,1247,20.71,23.26,17.41,17.32,0.09
Abla,04001,DISTINTIVO C,Áreas no urbanas,55,Almería,1247,39.29,44.11,10.13,8.5,1.63
Abla,04001,ECO,Áreas no urbanas,0,Almería,1247,0,0,NA,4.19,NA
Abla,04001,SIN DISTINTIVO,Áreas no urbanas,56,Almería,1247,40,44.91,35.11,35,0.11
Ablanque,19002,DISTINTIVO B,Áreas no urbanas,0,Guadalajara,63,0,0,NA,17.32,NA
Ablanque,19002,DISTINTIVO C,Áreas no urbanas,0,Guadalajara,63,0,0,NA,8.5,NA
Ablanque,19002,ECO,Áreas no urbanas,0,Guadalajara,63,0,0,NA,4.19,NA
