nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Abia de la Obispalía,16001,DISTINTIVO C,Áreas no urbanas,0,Cuenca,60,2,0,0,NA,4.09,NA
Abia de la Obispalía,16001,ECO,Áreas no urbanas,0,Cuenca,60,2,0,0,NA,3.95,NA
Abia de la Obispalía,16001,SIN DISTINTIVO,Áreas no urbanas,2,Cuenca,60,2,100,33.33,20.5,19.31,1.19
Abia de las Torres,34003,DISTINTIVO B,Áreas no urbanas,0,Palencia,169,5,0,0,NA,11.64,NA
Abia de las Torres,34003,DISTINTIVO C,Áreas no urbanas,0,Palencia,169,5,0,0,NA,4.09,NA
Abia de las Torres,34003,ECO,Áreas no urbanas,0,Palencia,169,5,0,0,NA,3.95,NA
Abia de las Torres,34003,SIN DISTINTIVO,Áreas no urbanas,5,Palencia,169,5,100,29.59,17.4,19.31,-1.91
Abiego,22001,CERO,Áreas no urbanas,0,Huesca,278,8,0,0,NA,4.01,NA
Abiego,22001,DISTINTIVO B,Áreas no urbanas,1,Huesca,278,8,12.5,3.6,16,11.64,4.36
Abiego,22001,DISTINTIVO C,Áreas no urbanas,0,Huesca,278,8,0,0,NA,4.09,NA
Abiego,22001,ECO,Áreas no urbanas,0,Huesca,278,8,0,0,NA,3.95,NA
Abiego,22001,SIN DISTINTIVO,Áreas no urbanas,7,Huesca,278,8,87.5,25.18,14.71,19.31,-4.59
Abizanda,22002,DISTINTIVO B,Áreas no urbanas,0,Huesca,151,8,0,0,NA,11.64,NA
Abizanda,22002,DISTINTIVO C,Áreas no urbanas,0,Huesca,151,8,0,0,NA,4.09,NA
Abizanda,22002,ECO,Áreas no urbanas,0,Huesca,151,8,0,0,NA,3.95,NA
Abizanda,22002,SIN DISTINTIVO,Áreas no urbanas,8,Huesca,151,8,100,52.98,21.75,19.31,2.44
Abla,04001,CERO,Áreas no urbanas,0,Almería,1247,34,0,0,NA,4.01,NA
Abla,04001,DISTINTIVO B,Áreas no urbanas,0,Almería,1247,34,0,0,NA,11.64,NA
