cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
37028,673701,Meseta de Salamanca,2916A,Almendra,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37029,673701,Meseta de Salamanca,2867,Anaya de Alba,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37030,673701,Meseta de Salamanca,2870,Añover de Tormes,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37031,673701,Meseta de Salamanca,2867,Arabayona de Mógica,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37032,673701,Meseta de Salamanca,2870,Arapiles,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37033,673701,Meseta de Salamanca,2867,Arcediano,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37034,673701,Meseta de Salamanca,2870,"Arco, El",Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37035,673701,Meseta de Salamanca,2867,Armenteros,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37036,673702,Sistema Central de Salamanca,2491C,San Miguel del Robledo,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37037,673701,Meseta de Salamanca,2946X,"Atalaya, La",Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37038,673701,Meseta de Salamanca,2867,Babilafuente,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37039,673701,Meseta de Salamanca,2946X,Bañobárez,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37040,673701,Meseta de Salamanca,2870,Barbadillo,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37041,673702,Sistema Central de Salamanca,2491C,Barbalos,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37042,673701,Meseta de Salamanca,2916A,Barceo,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37044,673701,Meseta de Salamanca,2916A,Barruecopardo,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
