fecha,indicativo,nombre_completo,provincia_clean,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-12,3195,"Madrid, Retiro (Madrid)",Madrid,4.6,6.9,-2.3,6.9,4.6,"-2,3",12 mar.,▼,#2171b5
2024-03-12,3191E,Colmenar Viejo (Madrid),Madrid,4.1,5,-0.9,5,4.1,"-0,9",12 mar.,▼,#2171b5
2024-03-12,3100B,Aranjuez (Madrid),Madrid,1.1,3.5,-2.4,3.5,1.1,"-2,4",12 mar.,▼,#2171b5
2024-03-12,3266A,Puerto Alto del León (Madrid),Madrid,-0.5,1.6,-2.1,1.6,-0.5,"-2,1",12 mar.,▼,#2171b5
2024-03-12,3110C,Buitrago del Lozoya (Madrid),Madrid,0.8,1.1,-0.3,1.1,0.8,"-0,3",12 mar.,▼,#2171b5
2024-03-12,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.7,NA,NA,NA,NA,12 mar.,NA,NA
2024-03-12,3129,Madrid Aeropuerto (Madrid),Madrid,0.2,4.4,-4.2,4.4,0.2,"-4,2",12 mar.,▼,#2171b5
2024-03-13,2462,Puerto de Navacerrada (Madrid),Madrid,2.1,-1.2,3.3,2.1,-1.2,"+3,3",13 mar.,▲,#cb181d
2024-03-13,3111D,Somosierra (Madrid),Madrid,3.3,0.1,3.2,3.3,0.1,"+3,2",13 mar.,▲,#cb181d
2024-03-13,3195,"Madrid, Retiro (Madrid)",Madrid,6.1,6.8,-0.7,6.8,6.1,"-0,7",13 mar.,▼,#2171b5
2024-03-13,3191E,Colmenar Viejo (Madrid),Madrid,6.9,4.5,2.4,6.9,4.5,"+2,4",13 mar.,▲,#cb181d
2024-03-13,3100B,Aranjuez (Madrid),Madrid,3.3,2.4,0.9,3.3,2.4,"+0,9",13 mar.,▲,#cb181d
2024-03-13,3266A,Puerto Alto del León (Madrid),Madrid,3.7,0.1,3.6,3.7,0.1,"+3,6",13 mar.,▲,#cb181d
2024-03-13,3110C,Buitrago del Lozoya (Madrid),Madrid,0.8,0.5,0.3,0.8,0.5,"+0,3",13 mar.,▲,#cb181d
2024-03-13,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,4.5,NA,NA,NA,NA,13 mar.,NA,NA
